GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510170200,1301,11,824,1202,2705,-0.6249039200614912,-0.4402957486136784,acs5_2019_tract,NA,27.19641857862339,9.254498714652957,87.02402957486137,13841
24510180100,948,0,642,1254,2185,-0.6772151898734177,-0.5739130434782609,acs5_2019_tract,NA,10.566037735849056,2.168256721595837,98.99313501144165,15195
24510180300,826,84,162,221,1732,-0.09443099273607748,-0.07909930715935334,acs5_2019_tract,NA,26.57777777777778,35.49060542797495,47.45958429561201,50761
24510260302,2531,70,669,2165,6634,-0.23666534966416436,-0.3157974072957492,acs5_2019_tract,NA,12.361495844875346,11.5625,88.40820018088634,41280
24510260700,971,377,18,17,2933,0.36972193614830073,0.12274122059324924,acs5_2019_tract,NA,15.784908933217693,44.86428951569984,2.3184452778724856,83050
24510260900,1639,843,12,18,3359,0.5070164734594265,0.24560881214647218,acs5_2019_tract,NA,10.729847494553377,75.96223674655047,5.269425424233403,109618
24510261000,981,91,93,661,2824,-0.0020387359836901123,-0.20184135977337112,acs5_2019_tract,NA,27.11738484398217,23.798756359525157,44.08640226628895,55221
24510270101,604,140,55,242,1638,0.14072847682119205,-0.06227106227106227,acs5_2019_tract,NA,14.082503556187767,44.919786096256686,51.03785103785104,76591
24510271900,1515,167,395,629,3794,-0.1504950495049505,-0.12177121771217712,acs5_2019_tract,NA,9.00900900900901,33.94375408763898,76.8054823405377,51938
24510272003,1957,518,184,93,6229,0.17066939192641797,0.06822925028094397,acs5_2019_tract,NA,6.587112171837709,47.01042238069117,26.617434580189435,69016
24510090900,966,0,492,842,2691,-0.5093167701863354,-0.31289483463396506,acs5_2019_tract,NA,32.35294117647059,7.425742574257426,96.20958751393535,22571
24510100100,824,0,372,1073,2259,-0.45145631067961167,-0.47498893315626384,acs5_2019_tract,NA,26.09865470852018,8.866995073891626,96.85701637892873,26350
24510150100,977,0,523,907,2172,-0.5353121801432958,-0.4175874769797422,acs5_2019_tract,NA,34.77970627503338,4.709677419354839,93.13996316758748,17371
24510150900,1276,9,255,541,3371,-0.19278996865203762,-0.157816671610798,acs5_2019_tract,NA,23.68421052631579,24.41012441012441,92.8211213289825,56530
24510200400,494,0,187,524,1519,-0.3785425101214575,-0.34496379196840027,acs5_2019_tract,NA,45.714285714285715,6.019007391763464,91.1784068466096,30000
24510200500,936,22,249,440,2709,-0.24252136752136752,-0.15430047988187523,acs5_2019_tract,NA,38.86348791639451,7.027027027027027,52.52860834256183,32992
24510250101,1633,82,233,492,4116,-0.09246785058175137,-0.09961127308066084,acs5_2019_tract,NA,4.447045055588063,18.37076768354006,80.70942662779397,57991
24510250600,0,0,0,0,0,NA,NA,acs5_2019_tract,NA,NA,NA,NA,NA
24510260404,542,51,46,107,2061,0.00922509225092251,-0.027171276079573023,acs5_2019_tract,NA,24.617524339360223,6.179351921627732,15.914604560892771,45781
24510270102,1279,128,90,40,3774,0.029710711493354185,0.023317435082140965,acs5_2019_tract,NA,17.8548490687219,25.24590163934426,72.70800211976683,64922
24510270501,1594,256,0,55,4010,0.1606022584692597,0.05012468827930175,acs5_2019_tract,NA,11.738648947951274,23.567093728927848,34.01496259351621,63509
24510270801,1591,62,173,470,4087,-0.06976744186046512,-0.09982872522632738,acs5_2019_tract,NA,9.241300627495722,32.33865371269951,78.73746023978468,56670
24510271700,1803,23,641,658,4624,-0.3427620632279534,-0.13732698961937717,acs5_2019_tract,NA,26.70731707317073,15.139547130068458,91.56574394463668,39432
24510280200,1666,22,282,754,5122,-0.15606242496998798,-0.14291292463881297,acs5_2019_tract,NA,17.237953303527075,29.40717628705148,89.75009761811792,59524
24510280301,1911,54,565,661,3912,-0.2673992673992674,-0.1551635991820041,acs5_2019_tract,NA,13.490267089180625,25.39325842696629,85.12269938650307,44390
24510160801,1174,0,302,150,3052,-0.2572402044293015,-0.0491480996068152,acs5_2019_tract,NA,17.09039548022599,16.505281690140844,97.41153342070773,44015
